ASIN Code,Product Name,Category,Status,Amazon URL,Price (₹),MRP (₹),Discount %,Rating,Review Count,Stock Status,Seller,Brand,Source,Last Updated,Image URL
B098QHFPVS,Kapiva Liver Care Juice Ayurvedic Supplement - 1L,Chronic Care,✅ Scraped,https://www.amazon.in/dp/B098QHFPVS,649.0,655.0,0.9,4.2,1559.0,Out of Stock,RK World Infocom Pvt Ltd,Kapiva,,2026-06-04T10:37:59.792719,https://m.media-amazon.com/images/I/41DZtPH-1+L._SY300_SX300_QL70_FMwebp_.jpg
B09BZNDYT2,Kapiva Original Himalayan Shilajit Resin - 20g,Men's Health & Stamina,✅ Scraped,https://www.amazon.in/dp/B09BZNDYT2,813.0,1499.0,45.8,4.0,10065.0,Out of Stock,RK World Infocom Pvt Ltd,Kapiva,,2026-06-04T10:37:59.792726,https://m.media-amazon.com/images/I/414t24kgSEL._SY300_SX300_QL70_FMwebp_.jpg
B09TFQ9TLZ,Kapiva Himalayan Shilajit Resin Super Saver - 40g,Men's Health & Stamina,✅ Scraped,https://www.amazon.in/dp/B09TFQ9TLZ,1648.0,2998.0,45.0,4.1,3177.0,Out of Stock,RK World Infocom Pvt Ltd,Kapiva,,2026-06-04T10:37:59.792752,https://m.media-amazon.com/images/I/41e3OLKMLjL._SY300_SX300_QL70_FMwebp_.jpg
B0B3DS83YC,Kapiva Ashwagandha Gold Capsules - 60 Count,Men's Health & Stamina,✅ Scraped,https://www.amazon.in/dp/B0B3DS83YC,359.0,5.98,,4.1,,In Stock,,,scrapingbee,2026-06-04T11:17:51.433957,
B0BL3TN1QC,Kapiva Shilajit Gold Resin with 24 Carat Gold - 20g,Men's Health & Stamina,✅ Scraped,https://www.amazon.in/dp/B0BL3TN1QC,1285.0,1549.0,17.0,4.2,6593.0,Out of Stock,RK World Infocom Pvt Ltd,Kapiva,,2026-06-04T10:37:59.792761,https://m.media-amazon.com/images/I/51q4yqV81mL._SY300_SX300_QL70_FMwebp_.jpg
B0BPLVZRNZ,Kapiva Shilajit Energy Capsules - 60 Count,Men's Health & Stamina,✅ Scraped,https://www.amazon.in/dp/B0BPLVZRNZ,1199.0,1499.0,20.0,4.0,3791.0,Out of Stock,RK World Infocom Pvt Ltd,Kapiva,,2026-06-04T10:37:59.792772,https://m.media-amazon.com/images/I/41gqVsRn2XL._SY300_SX300_QL70_FMwebp_.jpg
B07GWPCCGX,Kapiva Certified A2 Gir Cow Curd-Churned Ghee - 500ml,Nutrition & Organics,✅ Scraped,https://www.amazon.in/dp/B07GWPCCGX,846.0,1077.0,21.4,4.0,1356.0,Out of Stock,RK World Infocom Pvt Ltd,Kapiva,,2026-06-04T10:37:59.792689,https://m.media-amazon.com/images/I/41ZtzqOfkTL._SY300_SX300_QL70_FMwebp_.jpg
B07MDK6FQR,Kapiva Plant Protein Nutrition Powder Chocolate - 1kg,Nutrition & Protein,✅ Scraped,https://www.amazon.in/dp/B07MDK6FQR,1779.0,2001.0,11.1,3.9,757.0,Out of Stock,RK World Infocom Pvt Ltd,Kapiva,,2026-06-04T10:37:59.792697,https://m.media-amazon.com/images/I/41epdGK4AWL._SX300_SY300_QL70_FMwebp_.jpg
B07SZ43SWF,Kapiva Pure Aloe Vera Skin Gel Face & Hair - 500g,Skin & Hair Care,✅ Scraped,https://www.amazon.in/dp/B07SZ43SWF,339.0,450.0,24.7,4.2,6176.0,Out of Stock,Kapiva (Adret Retail Pvt. Ltd.),Kapiva,,2026-06-04T10:37:59.792708,https://m.media-amazon.com/images/I/41f601rV73L._SY300_SX300_QL70_FMwebp_.jpg
B09N3B345J,Kapiva Skin Foods Glow Mix Ayurvedic Collagen Powder - 30 Sachets,Skin & Hair Care,✅ Scraped,https://www.amazon.in/dp/B09N3B345J,888.0,1067.0,16.8,3.7,2457.0,Out of Stock,RK World Infocom Pvt Ltd,Kapiva,,2026-06-04T10:37:59.792740,https://m.media-amazon.com/images/I/41vlZLNOM6L._SY300_SX300_QL70_FMwebp_.jpg
