ASIN,Product Name,Category,Price (INR),MRP (INR),Rating,Reviews,Availability,Seller,Amazon URL
B098QHFPVS,Kapiva Liver Care Juice,Chronic Care,635,63,4.3,1692,In stock,RK World Infocom Pvt Ltd,https://www.amazon.in/dp/B098QHFPVS
B0BL3TN1QC,Shilajit Gold Resin,Men's Health,1199,5995,4,6812,In stock,RK World Infocom Pvt Ltd,https://www.amazon.in/dp/B0BL3TN1QC
B09TFQ9TLZ,Himalayan Shilajit,Men's Health,1549,3872,5,3237,In stock,RK World Infocom Pvt Ltd,https://www.amazon.in/dp/B09TFQ9TLZ
B0BPLVZRNZ,Shilajit Gold Caps,Men's Health,699,11,4,3889,In stock,RK World Infocom Pvt Ltd,https://www.amazon.in/dp/B0BPLVZRNZ
B09BZNDYT2,Shilajit Resin 20g,Men's Health,664,3320,4,10190,In stock,RK World Infocom Pvt Ltd,https://www.amazon.in/dp/B09BZNDYT2
B07DRB3D5Z,Get Slim Juice 1L,Weight Management,479,47,4.3,9786,In stock,RK World Infocom Pvt Ltd,https://www.amazon.in/dp/B07DRB3D5Z
B09MMH943Y,Get Slim Juice 2L,Weight Management,868,43,4.3,1120,In stock,RK World Infocom Pvt Ltd,https://www.amazon.in/dp/B09MMH943Y
B07MDK6FQR,Plant Protein,Nutrition & Protein,1579,157,3.8,758,In stock,RK World Infocom Pvt Ltd,https://www.amazon.in/dp/B07MDK6FQR
B07GWPCCGX,A2 Gir Cow Ghee,Nutrition & Organics,699,139,4.2,1388,In stock,RK World Infocom Pvt Ltd,https://www.amazon.in/dp/B07GWPCCGX
B09N3B345J,Skin Glow Mix,Skin & Hair Care,759,702,4.3,2473,In stock,RK World Infocom Pvt Ltd,https://www.amazon.in/dp/B09N3B345J
B09PDYXR4H,Hair Care Juice,Skin & Hair Care,1299,64,5,199,In stock,Kapiva (Adret Retail Pvt. Ltd.),https://www.amazon.in/dp/B09PDYXR4H
B07SZ43SWF,Aloe Vera Gel,Skin & Hair Care,349,69,5,6240,In stock,Kapiva (Adret Retail Pvt. Ltd.),https://www.amazon.in/dp/B07SZ43SWF
