#,Product Name,Category,ASIN,Price,Rating,Reviews,Status,Amazon Link
1,Kapiva Liver Care Juice,Chronic Care,B098QHFPVS,₹655,4.2,1697,In Stock,https://www.amazon.in/dp/B098QHFPVS
2,Shilajit Gold Resin,Men's Health,B0BL3TN1QC,₹1199,4.2,6814,In Stock,https://www.amazon.in/dp/B0BL3TN1QC
3,Himalayan Shilajit,Men's Health,B09TFQ9TLZ,₹1549,4.1,3237,In Stock,https://www.amazon.in/dp/B09TFQ9TLZ
4,Shilajit Gold Caps,Men's Health,B0BPLVZRNZ,₹999,4.0,3888,In Stock,https://www.amazon.in/dp/B0BPLVZRNZ
5,Shilajit Resin 20g,Men's Health,B09BZNDYT2,₹711,4.0,10190,In Stock,https://www.amazon.in/dp/B09BZNDYT2
6,Get Slim Juice 1L,Weight Management,B07DRB3D5Z,₹479,3.8,9788,In Stock,https://www.amazon.in/dp/B07DRB3D5Z
7,Get Slim Juice 2L,Weight Management,B09MMH943Y,₹868,3.9,1120,In Stock,https://www.amazon.in/dp/B09MMH943Y
8,Plant Protein,Nutrition & Protein,B07MDK6FQR,₹1579,3.9,758,In Stock,https://www.amazon.in/dp/B07MDK6FQR
9,A2 Gir Cow Ghee,Nutrition & Organics,B07GWPCCGX,₹719,4.0,1389,In Stock,https://www.amazon.in/dp/B07GWPCCGX
10,Skin Glow Mix,Skin & Hair Care,B09N3B345J,₹759,3.7,2474,In Stock,https://www.amazon.in/dp/B09N3B345J
11,Hair Care Juice,Skin & Hair Care,B09PDYXR4H,₹1299,3.9,199,Out of Stock,https://www.amazon.in/dp/B09PDYXR4H
12,Aloe Vera Gel,Skin & Hair Care,B07SZ43SWF,₹349,4.2,6242,In Stock,https://www.amazon.in/dp/B07SZ43SWF
