ASIN,Product_Name,Category,Title,Price,MRP,Rating,Reviews,Stock,Seller,Last_Updated
B07DRB3D5Z,Kapiva Get Slim Juice Metabolism Booster - 1L,Weight Management,Kapiva Get Slim Juice - Healthy Weight Management Through 12 Ayurvedic Herbs Aids Metabolism and Digestion - 1L,479,515,3.8,9746,In Stock,RK World Infocom Pvt Ltd,2026-06-04T10:37:59.792672
B07GWPCCGX,Kapiva Certified A2 Gir Cow Curd-Churned Ghee - 500ml,Nutrition & Organics,"Kapiva Certified A2 Gir Cow Ghee 500ML | Traditional Vedic Bilona Method | Grassfed, Pure & Healthy | Curd-Churned | Premium Glass Bottle | 100% Natural & Lab-Tested | Rich in Nutrition",846,1077,4,1356,In Stock,RK World Infocom Pvt Ltd,2026-06-04T10:37:59.792689
B07MDK6FQR,Kapiva Plant Protein Nutrition Powder Chocolate - 1kg,Nutrition & Protein,"Kapiva Plant Protein | 25g Protein Per Scoop, Chocolate | With Vitamins & Minerals | Pea protein Isolate - 1Kg",1779,2001,3.9,757,In Stock,RK World Infocom Pvt Ltd,2026-06-04T10:37:59.792697
B07SZ43SWF,Kapiva Pure Aloe Vera Skin Gel Face & Hair - 500g,Skin & Hair Care,"Kapiva Pure Aloe Vera Skin Gel 500g For Face & Hair | Hydrating, Moisturizing, Soothing Skin | Multipurpose Gel",339,450,4.2,6176,In Stock,Kapiva (Adret Retail Pvt. Ltd.),2026-06-04T10:37:59.792708
B098QHFPVS,Kapiva Liver Care Juice Ayurvedic Supplement - 1L,Chronic Care,Kapiva Liver Care Juice (1L) | Anti-oxidant Rich Supplement With 5 Ayurvedic Herbs | Supports Fatty Liver Management & Detox,649,655,4.2,1559,In Stock,RK World Infocom Pvt Ltd,2026-06-04T10:37:59.792719
B09BZNDYT2,Kapiva Original Himalayan Shilajit Resin - 20g,Men's Health & Stamina,"Kapiva Original Himalayan Shilajit/Shilajeet Resin 20g | 250mg/Serving | For Energy, Endurance & Vitality | 80 Servings | 100% Ayurvedic",813,1499,4,10065,In Stock,RK World Infocom Pvt Ltd,2026-06-04T10:37:59.792726
B09MMH943Y,Kapiva Get Slim Juice Pack of 2 - 2L,Weight Management,"Kapiva Get Slim Juice (2L) Bottle,Pack| Healthy Weight Management Through 12 Ayurvedic Herbs | Aids Metabolism and Digestion - Super Saver Pack of 2",978,1029,3.9,1114,In Stock,RK World Infocom Pvt Ltd,2026-06-04T10:37:59.792734
B09N3B345J,Kapiva Skin Foods Glow Mix Ayurvedic Collagen Powder - 30 Sachets,Skin & Hair Care,"Kapiva Skin Foods Glow Mix | Ayurvedic Skin Supplement, Collagen Powder | Skincare for Glowing & Healthy Skin (30 Sachets)",888,1067,3.7,2457,In Stock,RK World Infocom Pvt Ltd,2026-06-04T10:37:59.792740
B09PDYXR4H,Kapiva Hair Care Juice for Hair Fall Control - 1L,Skin & Hair Care,"Kapiva Hair Care Juice (2L) | For Hair Growth & Hair Fall Control | 100% Ayurvedic Hair Care with Amla, Noni, Bhringraj and Ashwagandha - Super Saver Pack of 2",1452,1698,3.9,199,In Stock,Kapiva (Adret Retail Pvt. Ltd.),2026-06-04T10:37:59.792747
B09TFQ9TLZ,Kapiva Himalayan Shilajit Resin Super Saver - 40g,Men's Health & Stamina,"Kapiva Original Himalayan Shilajit/Shilajeet Resin 40g |Super Saver Pack| 250mg/Serving | For Energy, Endurance & Vitality | 160 Servings | 100% Ayurvedic",1648,2998,4.1,3177,In Stock,RK World Infocom Pvt Ltd,2026-06-04T10:37:59.792752
B0B3DS83YC,Kapiva Ashwagandha Gold Capsules - 60 Count,Men's Health & Stamina,Kapiva Ashwagandha Gold 60 Caps |183rd day Nagori Ashwagandha | 5% Withanolide | Helps in Stress &amp; Sleep Management | Improves Gym Performance | For Men &amp; Women |100% Ayurvedic,359.0,5.98,4.1,,Out of Stock,,2026-06-04T11:17:51.433957
B0BL3TN1QC,Kapiva Shilajit Gold Resin with 24 Carat Gold - 20g,Men's Health & Stamina,Kapiva Shilajit/Shilajeet Gold Resin - 20g | 500mg/Serving | 40 Servings | Boost Muscle Growth & Stamina | Contains 24 Carat Gold | 100% Ayurvedic,1285,1549,4.2,6593,In Stock,RK World Infocom Pvt Ltd,2026-06-04T10:37:59.792761
B0BPLVZRNZ,Kapiva Shilajit Energy Capsules - 60 Count,Men's Health & Stamina,"Kapiva Shilajit/Shilajeet Gold 60 Capsules | Contains 24 Carat Gold | For Stamina, Muscle Growth & Energy | Ashwagandha, Gokshura, Safed Musali & Other Action Herbs & 100% Ayurvedic",1199,1499,4,3791,In Stock,RK World Infocom Pvt Ltd,2026-06-04T10:37:59.792772
