ASIN,Product,Price,Rating,Reviews,Availability
B098QHFPVS,Kapiva Liver Care Juice Ayurvedic Supplement,₹500,4.0,1574,In Stock
B0BL3TN1QC,Kapiva Shilajit/Shilajeet Gold Resin,₹500,4.0,6637,In Stock
B09TFQ9TLZ,Kapiva Original Himalayan Shilajit Resin,₹500,4.1,3188,In Stock
B0BPLVZZNZ,N/A,N/A,N/A,N/A,Error: HTTP 404
B09BZNDYT2,Kapiva Original Himalayan Shilajit Resin,₹500,4.1,10097,In Stock
B07DRB3D5Z,Kapiva Get Slim Juice Healthy Weight Management,₹500,4.5,9757,In Stock
B09MMH943Y,Kapiva Get Slim Juice,₹500,4.5,1115,In Stock
B07MDK6FQR,"Kapiva Plant Protein | 25g Protein Per Scoop, Chocolate | With Vitamins &amp; Minerals | Pea protein Isolate - 1Kg : Ama",₹500,4.3,759,In Stock
B07GWPCCGX,"Kapiva Certified A2 Gir Cow Ghee 500ML | Traditional Vedic Bilona Method | Grassfed, Pure &amp; Healthy | Curd-Churned |",₹500,4.2,1361,In Stock
B09N3B345J,Kapiva Skin Foods Glow Mix Ayurvedic Collagen Powder,₹500,4.1,2461,In Stock
B09PDYXR4H,Kapiva Hair Care Juice for Hair Growth &amp; Hair Fall Control,₹500,3.9,199,In Stock
B07SZ43SWF,"Kapiva Pure Aloe Vera Skin Gel 500g For Face &amp; Hair | Hydrating, Moisturizing, Soothing Skin | Multipurpose Gel : Am",₹500,4.4,6191,In Stock
B0C7YRT7JP,N/A,N/A,N/A,N/A,Error: HTTP 404
